"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","SAMPLE_ID","COLLECT_DATE","REASON","ROWID"
"115","","","Iron, Fe","Metals per ICP by EPA 200.7","1",".922","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{C04BC1FB-1AF9-4A4F-BC3C-CBF797D0E83F}"
"120","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","217","217","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{9E3B423D-87DE-4D8C-A29F-82FC36355736}"
"121","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","294","294","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{72BF5BFE-5CE2-4ED7-B0CA-74A9F4F00500}"
"124","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","225","225","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{3711FAD9-F1F0-41CD-8F95-BF3DB47DD441}"
"125","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","229","229","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{F3A013E0-6349-4527-A19A-B03FAD9BDBB8}"
"141","","","COD, Chemical Oxygen Demand","COD by EPA 410.4","109","109","    ","","mg/L","6.7","20","2010-04-29 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOR","010708 Hackberry Creek SD","2010-04-27 00:00:00","","{52E8DD9B-41D2-42AC-B860-D104EB3AD590}"
"147","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1","1.09","    ","","mg/L","0.028","0.1","2010-04-29 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","CBD 1 S","2010-04-28 00:00:00","","{F5C71FC0-1085-4AC4-B998-F41A9465494C}"
"148","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1","1.07","    ","","mg/L","0.028","0.1","2010-04-29 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","CBD 1 SD","2010-04-28 00:00:00","","{82361D97-2623-4CDF-A09A-81027BF5944E}"
"153","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1",".93","    ","","mg/L","0.028","0.1","2010-04-29 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","010701 Bear Creek @ County Lin","2010-04-28 00:00:00","","{E50C4C01-312F-45F8-A516-968C947A84E6}"
"154","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1",".936","    ","","mg/L","0.028","0.1","2010-04-29 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","010701 Bear Creek @ County Lin","2010-04-28 00:00:00","","{5B001F0F-39F4-4C81-A45B-AA8D830879A0}"
"155","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".176","    ","","mg/L","0.006","0.01","2010-04-30 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","CBD 1 S","2010-04-28 00:00:00","","{F93411FC-9811-4637-BDAA-1AA1F2A891BF}"
"156","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".173","    ","","mg/L","0.006","0.01","2010-04-30 00:00:00","pablo.davila","2010-05-21 00:00:00","","JOH","CBD 1 SD","2010-04-28 00:00:00","","{D4A2F7CB-4F2D-45B7-8E8A-68A93CE3C6F4}"
